review_text,rating,review_date,bank_id,bank_name
good,4,2025-11-10,com.combanketh.mobilebanking,CBE
not Refresh,2,2025-11-10,com.combanketh.mobilebanking,CBE
your statement is not used as wanted,1,2025-11-10,com.combanketh.mobilebanking,CBE
good very good,5,2025-11-09,com.combanketh.mobilebanking,CBE
this is absolute trash why because it's not Woking most time the servers are down even though I'm using 4g data Internet they steal not working they use to work with out even data package now it's trash can't even send money,1,2025-11-09,com.combanketh.mobilebanking,CBE
good app,5,2025-11-08,com.combanketh.mobilebanking,CBE
Bayeee galatooma kana caalati nu gammachisa 🌏🤌🏻💴💸🥰👌🏻🙏🏻,5,2025-11-08,com.combanketh.mobilebanking,CBE
Good !,5,2025-11-08,com.combanketh.mobilebanking,CBE
i like it,5,2025-11-08,com.combanketh.mobilebanking,CBE
Very nice app,5,2025-11-08,com.combanketh.mobilebanking,CBE
the app is not functional this week.,4,2025-11-08,com.combanketh.mobilebanking,CBE
good,5,2025-11-07,com.combanketh.mobilebanking,CBE
very updated bank,5,2025-11-06,com.combanketh.mobilebanking,CBE
tankyu,5,2025-11-05,com.combanketh.mobilebanking,CBE
nice,5,2025-11-05,com.combanketh.mobilebanking,CBE
Numbers 2 and 3 don't write during pin verification.,5,2025-11-05,com.combanketh.mobilebanking,CBE
"once it is uninstalled, you need to visit a nearby bank. you go there and they ask you to have a new sim card which hasn't been used before. so you should buy a new sim card and you go back to them with a new sim card, when you reach there service provider says authentication pin is not arrive, the system is not working come back tomorrow.",1,2025-11-05,com.combanketh.mobilebanking,CBE
loved it,5,2025-11-05,com.combanketh.mobilebanking,CBE
Ok,1,2025-11-05,com.combanketh.mobilebanking,CBE
this app is not working on my phone,5,2025-11-03,com.combanketh.mobilebanking,CBE
CBE needs to show transaction fees before the transaction is confirmed and not after. This is a big issue as fees are no longer insignificant.,3,2025-11-03,com.combanketh.mobilebanking,CBE
"After the recent updates, I am unable to download a receipt. I can't see the names of account holders I've previously transacted with. Very important. Please fix it asap.",1,2025-11-03,com.combanketh.mobilebanking,CBE
nice,5,2025-11-02,com.combanketh.mobilebanking,CBE
wow 😘😘😘,4,2025-11-02,com.combanketh.mobilebanking,CBE
mobile banking broblem,5,2025-11-01,com.combanketh.mobilebanking,CBE
good job,5,2025-11-01,com.combanketh.mobilebanking,CBE
good,3,2025-11-01,com.combanketh.mobilebanking,CBE
it is a good and clear apps to use,4,2025-10-31,com.combanketh.mobilebanking,CBE
ለምንድን ነው ከንግድ ባንክ ወደ ቴሌብር 5 ብር ሲተላለፍ 11 ብር እንዲቆርጥ ያደረጋችሁት,1,2025-10-31,com.combanketh.mobilebanking,CBE
I love this app b/c every option in the app very clear and supportive.,5,2025-10-30,com.combanketh.mobilebanking,CBE
niiceh,5,2025-10-29,com.combanketh.mobilebanking,CBE
the app is good but their is no dark mode you have to add it,3,2025-10-29,com.combanketh.mobilebanking,CBE
🤮,1,2025-10-29,com.combanketh.mobilebanking,CBE
abdulakim abrahim elemoo,5,2025-10-29,com.combanketh.mobilebanking,CBE
good app,5,2025-10-28,com.combanketh.mobilebanking,CBE
strong,5,2025-10-28,com.combanketh.mobilebanking,CBE
good,5,2025-10-28,com.combanketh.mobilebanking,CBE
best,5,2025-10-28,com.combanketh.mobilebanking,CBE
Abebaw Zenebe,5,2025-10-28,com.combanketh.mobilebanking,CBE
good I love it keep it up but if we had a new update that will be fire Soo good,5,2025-10-27,com.combanketh.mobilebanking,CBE
good,5,2025-10-27,com.combanketh.mobilebanking,CBE
Cbe,5,2025-10-27,com.combanketh.mobilebanking,CBE
Active and granted system,5,2025-10-27,com.combanketh.mobilebanking,CBE
fast app,4,2025-10-27,com.combanketh.mobilebanking,CBE
cool 😎,5,2025-10-27,com.combanketh.mobilebanking,CBE
Galaxy A10s,3,2025-10-26,com.combanketh.mobilebanking,CBE
the best apps,5,2025-10-26,com.combanketh.mobilebanking,CBE
arif app new,5,2025-10-26,com.combanketh.mobilebanking,CBE
laga Bari biranch,5,2025-10-26,com.combanketh.mobilebanking,CBE
ነነሠነሠሠነሠሠሠሠነየነ,5,2025-10-26,com.combanketh.mobilebanking,CBE
I would like to suggest you improve the time out as it takes the money and doesn't return it back until the next day.,3,2025-10-25,com.combanketh.mobilebanking,CBE
Attractive,5,2025-10-25,com.combanketh.mobilebanking,CBE
mite,5,2025-10-24,com.combanketh.mobilebanking,CBE
useful,5,2025-10-24,com.combanketh.mobilebanking,CBE
nice,4,2025-10-23,com.combanketh.mobilebanking,CBE
"not good, not bad!",3,2025-10-23,com.combanketh.mobilebanking,CBE
very good,5,2025-10-23,com.combanketh.mobilebanking,CBE
እጅግ በጣም አስቀያሚ ጠቁአም ዘረፋ በሚባል ደርጃ የ አገልግሎት የሚቀበል ያልሰራበትን የገዛ ገንዝበባችንን ተዘረፍን ከ 100ብር 10ብር የአገልግሎት ማስከፈል ምን ማለት ነው እባካችሁ እዩት እስትይ ከ ሞባይል ባንክ ወደ ampsa አስተላልፉና እዩት በጣም ይገርማል ሌባ ብያቸዋልሁ,1,2025-10-22,com.combanketh.mobilebanking,CBE
good job,5,2025-10-22,com.combanketh.mobilebanking,CBE
imp,5,2025-10-22,com.combanketh.mobilebanking,CBE
super fast app,5,2025-10-21,com.combanketh.mobilebanking,CBE
good app,4,2025-10-20,com.combanketh.mobilebanking,CBE
useful,5,2025-10-20,com.combanketh.mobilebanking,CBE
"The app has a nice design and useful features like balance check and transfers, but it’s unstable and often fails to connect. It also forces users to turn off Developer Options, which is unnecessary — other banking apps work fine without that. Many people use Developer Mode for normal reasons. Please fix performance issues, remove this restriction, and add biometric login for better security and convenience",2,2025-10-19,com.combanketh.mobilebanking,CBE
cbe,4,2025-10-18,com.combanketh.mobilebanking,CBE
"it says ""ti is work any more in your device"" what can i do??",1,2025-10-18,com.combanketh.mobilebanking,CBE
blah blah blah,5,2025-10-18,com.combanketh.mobilebanking,CBE
good,5,2025-10-17,com.combanketh.mobilebanking,CBE
bad ግዴታ መሆንሁ,1,2025-10-17,com.combanketh.mobilebanking,CBE
best,5,2025-10-17,com.combanketh.mobilebanking,CBE
CBE no.1,5,2025-10-17,com.combanketh.mobilebanking,CBE
good,5,2025-10-16,com.combanketh.mobilebanking,CBE
"it's not work correctly when it's needed sometimes, but it works sometimes though",2,2025-10-16,com.combanketh.mobilebanking,CBE
its easy to use and more secured than the previous one. i love it and appreciate commercial bank of ethiopia for every time update.,5,2025-10-16,com.combanketh.mobilebanking,CBE
gooof,5,2025-10-16,com.combanketh.mobilebanking,CBE
"Suddenly the cbe application I was using stopped working and called callcenter, I was told it's because it expired and I should vist any branch to fix it. So I went to CBE Silassie branch.After filling a form they gave me, I sat down and waited until they finish fixing 2 customer's case who arrived before me. But then when it was my turn ppl who came after me with same mobile banking and even Atm card cases were finishing up and leaving I had to get back to my work so I left.with no service.why?",1,2025-10-16,com.combanketh.mobilebanking,CBE
Best app,5,2025-10-16,com.combanketh.mobilebanking,CBE
best,5,2025-10-15,com.combanketh.mobilebanking,CBE
still not perfect like before,1,2025-10-15,com.combanketh.mobilebanking,CBE
This app dash board is disturbing me. it is not showing me traxation and my balance while displaying others option on dashboard. I think it is a risk full app😭😭😭🤤🤤,1,2025-10-15,com.combanketh.mobilebanking,CBE
APPLIED,1,2025-10-14,com.combanketh.mobilebanking,CBE
10 years ago,4,2025-10-14,com.combanketh.mobilebanking,CBE
Asefa Obsa,5,2025-10-14,com.combanketh.mobilebanking,CBE
best app,4,2025-10-14,com.combanketh.mobilebanking,CBE
it's good app,5,2025-10-14,com.combanketh.mobilebanking,CBE
very slow,1,2025-10-14,com.combanketh.mobilebanking,CBE
berhan deriba wami,4,2025-10-14,com.combanketh.mobilebanking,CBE
good,5,2025-10-13,com.combanketh.mobilebanking,CBE
mahamad Usman,5,2025-10-13,com.combanketh.mobilebanking,CBE
Erako,5,2025-10-13,com.combanketh.mobilebanking,CBE
🔥🔥🔥🔥🔥,5,2025-10-13,com.combanketh.mobilebanking,CBE
opne,5,2025-10-13,com.combanketh.mobilebanking,CBE
mehommd nuri,5,2025-10-13,com.combanketh.mobilebanking,CBE
Best,5,2025-10-12,com.combanketh.mobilebanking,CBE
good,5,2025-10-12,com.combanketh.mobilebanking,CBE
providing very secure service.,5,2025-10-12,com.combanketh.mobilebanking,CBE
apk አሪፍ ነው ግን በጣም apkwun የሚከፍቱ የ ባንክ ሰራተኞች በጣም ደካማ ናቸው ሲያስተናግዱ ለ ደንበኛ ክብር የላቸውም እኔ መመላለስ ከጀመርኩ ቆየው ግን መፍትህ ላገኝ አልችልኩም ::,1,2025-10-12,com.combanketh.mobilebanking,CBE
ዳር ኑሮ ላለው ኣፍሪቻን ው,5,2025-10-12,com.combanketh.mobilebanking,CBE
RIYAD Mohammed Abaoli 92 527 2567,5,2025-10-12,com.combanketh.mobilebanking,CBE
it doesn't show bank statement and no options to see transactions for the past months.,2,2025-10-12,com.combanketh.mobilebanking,CBE
Mamma Husen,2,2025-10-11,com.combanketh.mobilebanking,CBE
ok,5,2025-10-11,com.combanketh.mobilebanking,CBE
3 stars because I can't see all my transaction history apart from the recents and a refresh button has been removed from the Recents activity. The app should allow clients to view all of the transactions not just recents.,3,2025-10-11,com.combanketh.mobilebanking,CBE
good,5,2025-10-10,com.combanketh.mobilebanking,CBE
exceptional application from others bank,5,2025-10-10,com.combanketh.mobilebanking,CBE
"it is very nice. but i have a serious suggestion when you send to other cbe birr customer, it does not show the name of the recipient befor it actually send the money. please improve this",4,2025-10-10,com.combanketh.mobilebanking,CBE
good👍👍👍😊😊😊,5,2025-10-10,com.combanketh.mobilebanking,CBE
really good app,5,2025-10-10,com.combanketh.mobilebanking,CBE
smart bank CBE,5,2025-10-10,com.combanketh.mobilebanking,CBE
Ali urgesa11,3,2025-10-09,com.combanketh.mobilebanking,CBE
it's good,5,2025-10-09,com.combanketh.mobilebanking,CBE
Good apps,5,2025-10-09,com.combanketh.mobilebanking,CBE
good,5,2025-10-09,com.combanketh.mobilebanking,CBE
password በጣት አሻራ ቢኖረው መልካም ነበር,4,2025-10-09,com.combanketh.mobilebanking,CBE
best app i ever seen,5,2025-10-09,com.combanketh.mobilebanking,CBE
it's game changing in financial system,4,2025-10-09,com.combanketh.mobilebanking,CBE
"z,MKT 20_._!8+⅓⅕😘r",1,2025-10-09,com.combanketh.mobilebanking,CBE
will good updating,5,2025-10-09,com.combanketh.mobilebanking,CBE
"service charge , vat, fee everything here is not yours they wanna take what you have, everything is not fair",1,2025-10-08,com.combanketh.mobilebanking,CBE
why removing screenshot feature why?,2,2025-10-08,com.combanketh.mobilebanking,CBE
very good application! thank you all who participate!,5,2025-10-08,com.combanketh.mobilebanking,CBE
application bank commercial Ethiopia I am very happy to be able to appear in a great job on a pleasant job,5,2025-10-08,com.combanketh.mobilebanking,CBE
user compatible app!,5,2025-10-08,com.combanketh.mobilebanking,CBE
"I am trying to access this app on my Android phone, but sometimes doesn't work. so kindly try to improve it.",3,2025-10-07,com.combanketh.mobilebanking,CBE
what an amazing app. you know how much it simplify life. Thanks cbe. I proud of you.,5,2025-10-07,com.combanketh.mobilebanking,CBE
Our Commercial Bank of Ethiopia is Good !,5,2025-10-06,com.combanketh.mobilebanking,CBE
Asledin Ibsa,5,2025-10-06,com.combanketh.mobilebanking,CBE
terrible when showing history of transaction it shows in disorganised way,3,2025-10-05,com.combanketh.mobilebanking,CBE
my bank,5,2025-10-05,com.combanketh.mobilebanking,CBE
Data,5,2025-10-04,com.combanketh.mobilebanking,CBE
"lately I am facing a problem with the app ,and the problem is when log in and inter my pin it doesn't work at all and says 'can't sync' why does it say that I was working fine a few day ago and also it says when I enter my pin 'change your pin to 6 digit pin and it doesn't allow me to change it please solve what is the problem with the app ?",2,2025-10-04,com.combanketh.mobilebanking,CBE
excellent app with lots of features,5,2025-10-04,com.combanketh.mobilebanking,CBE
very good 👍 mobile banking,5,2025-10-04,com.combanketh.mobilebanking,CBE
so special,5,2025-10-04,com.combanketh.mobilebanking,CBE
wiiy ewdihiliw esimirt niho yitnehew metgeyot ❤💞🤔😴🤩😍,1,2025-10-03,com.combanketh.mobilebanking,CBE
woow cbe,5,2025-10-03,com.combanketh.mobilebanking,CBE
cbe the best bank app,4,2025-10-03,com.combanketh.mobilebanking,CBE
This App CBE bank it's Simple and Smart I Like it.,5,2025-10-03,com.combanketh.mobilebanking,CBE
Rijalufaris,5,2025-10-02,com.combanketh.mobilebanking,CBE
its Best app But i hate the Repeatedly update request,5,2025-10-02,com.combanketh.mobilebanking,CBE
